time slot,edge_cpu,iot_cpu
1,0.08,0.09
2,0.1,0.1
3,0.08,0.1
4,0.1,0.1
5,0.09,0.09
6,0.09,0.1
7,0.17,0.09
8,0.09,0.1
9,0.08,0.09
10,0.08,0.1
11,0.08,0.09
12,0.08,0.1
13,0.08,0.1
14,0.09,0.1
15,0.08,0.1
16,0.09,0.1
17,0.08,0.1
18,0.1,0.1
19,0.08,0.1
20,0.08,0.09
21,0.08,0.1
22,0.08,0.1
23,0.08,0.1
24,0.09,0.1
25,0.07,0.09
26,0.08,0.1
27,0.08,0.1
28,0.09,0.1
29,0.08,0.1
30,0.09,0.1
31,0.08,0.1
32,0.08,0.1
33,0.09,0.1
34,0.09,0.1
35,0.09,0.1
36,0.09,0.1
37,0.08,0.1
38,0.09,0.1
39,0.08,0.1
40,0.08,0.1
41,0.08,0.1
42,0.09,0.1
43,0.08,0.11
44,0.09,0.11
45,0.08,0.1
46,0.08,0.1
47,0.08,0.09
48,0.1,0.09
49,0.09,0.1
50,0.09,0.1
51,0.08,0.1
52,0.08,0.1
53,0.08,0.1
54,0.1,0.1
55,0.09,0.1
56,0.09,0.1
57,0.09,0.1
58,0.08,0.1
59,0.08,0.1
60,0.08,0.1
61,0.1,0.1
62,0.26,0.1
63,0.16,0.1
64,0.1,0.1
65,0.08,0.11
66,0.1,0.18
67,0.16,0.13
68,0.17,0.1
69,0.09,0.1
70,0.08,0.1
71,0.05,0.11
72,0.03,0.1
73,0.03,0.1
74,0.04,0.1
75,0.04,0.1
76,0.03,0.11
77,0.04,0.1
78,0.05,0.1
79,0.02,0.1
80,0.03,0.1
81,0.04,0.1
82,0.13,0.1
83,0.11,0.1
84,0.08,0.1
85,0.11,0.1
86,0.07,0.26
87,0.05,0.15
88,0.04,0.19
89,0.03,0.13
90,0.04,0.43
91,0.03,0.58
92,0.03,0.62
93,0.03,0.63
94,0.05,0.62
95,0.04,0.63
96,0.04,0.62
97,0.03,0.62
98,0.03,0.62
99,0.02,0.63
